sku,title,cost_ex_vat,stock_on_hand,currency,section,category,source_sheet,effective_date
EP2-31337,Surface Laptop 13-inch Snapdragon Plus / 24GB RAM / 1TB / Windows 11 Pro - Platinum Metal,27258.00,6,ZAR,1 - SURFACE,SURFACE LAPTOP FOR BUSINESS 13-INCH SNAPDRAGON,Price List and Stock on Hand,14 April 2026
EP2-31279,Surface Laptop 13-inch Snapdragon Plus / 16GB RAM / 512GB / Windows 11 Pro - Platinum Metal,20316.00,81,ZAR,1 - SURFACE,SURFACE LAPTOP FOR BUSINESS 13-INCH SNAPDRAGON,Price List and Stock on Hand,14 April 2026
EP2-31000,Surface Laptop 13-inch Snapdragon Plus / 16GB RAM / 1TB / Windows 11 Pro - Platinum Metal,32321.00,0,ZAR,1 - SURFACE,SURFACE LAPTOP FOR BUSINESS 13-INCH SNAPDRAGON,Price List and Stock on Hand,14 April 2026
EP2-31225,Surface Laptop 13-inch Snapdragon Plus / 16GB RAM / 256GB / Windows 11 Pro - Platinum Metal,18704.00,141,ZAR,1 - SURFACE,SURFACE LAPTOP FOR BUSINESS 13-INCH SNAPDRAGON,Price List and Stock on Hand,14 April 2026
EP2-27225,Surface Pro 12-inch Snapdragon Plus / 16GB RAM / 1TB / Windows 11 Pro - Platinum,30529.00,0,ZAR,1 - SURFACE,SURFACE PRO 12-INCH SNAPDRAGON,Price List and Stock on Hand,14 April 2026
EP2-27242,Surface Pro 12-inch Snapdragon Plus / 24GB RAM / 1TB / Windows 11 Pro - Platinum,34982.00,0,ZAR,1 - SURFACE,SURFACE PRO 12-INCH SNAPDRAGON,Price List and Stock on Hand,14 April 2026
EP2-27208,Surface Pro 12-inch Snapdragon Plus / 16GB RAM / 512GB / Windows 11 Pro - Platinum,18704.00,124,ZAR,1 - SURFACE,SURFACE PRO 12-INCH SNAPDRAGON,Price List and Stock on Hand,14 April 2026
EP2-27191,Surface Pro 12-inch Snapdragon Plus / 16GB RAM / 256GB / Windows 11 Pro - Platinum,17186.00,89,ZAR,1 - SURFACE,SURFACE PRO 12-INCH SNAPDRAGON,Price List and Stock on Hand,14 April 2026
ZJQ-00015,Surface Laptop 6 13.5-inch Intel Ultra 5 / 16GB RAM / 256GB / Windows 11 Pro - Black,25004.00,3,ZAR,1 - SURFACE,SURFACE LAPTOP 6 13.5-INCH INTEL,Price List and Stock on Hand,14 April 2026
ZJV-00015,Surface Laptop 6 13.5-inch Intel Ultra 7 / 16GB RAM / 256GB / Windows 11 Pro - Black,28033.00,13,ZAR,1 - SURFACE,SURFACE LAPTOP 6 13.5-INCH INTEL,Price List and Stock on Hand,14 April 2026
ZJW-00015,Surface Laptop 6 13.5-inch Intel Ultra 7 / 16GB RAM / 512GB / Windows 11 Pro - Black,28033.00,25,ZAR,1 - SURFACE,SURFACE LAPTOP 6 13.5-INCH INTEL,Price List and Stock on Hand,14 April 2026
ZJZ-00015,Surface Laptop 6 13.5-inch Intel Ultra 7 / 32GB RAM / 512GB / Windows 11 Pro - Black,36274.00,6,ZAR,1 - SURFACE,SURFACE LAPTOP 6 13.5-INCH INTEL,Price List and Stock on Hand,14 April 2026
ZPX-00015,Surface Laptop 6 13.5-inch Intel Ultra 5 / 16GB RAM / 512GB / Windows 11 Pro - Black,26624.00,2,ZAR,1 - SURFACE,SURFACE LAPTOP 6 13.5-INCH INTEL,Price List and Stock on Hand,14 April 2026
ZLU-00040,Surface Laptop 6 15-inch Intel Ultra 7 / 32GB RAM / 1TB / Windows 11 Pro - Platinum,40570.00,2,ZAR,1 - SURFACE,SURFACE LAPTOP 6 15-INCH INTEL,Price List and Stock on Hand,14 April 2026
ZGV-00015,Surface Laptop 7 13.8-inch Snapdragon Plus / 16GB RAM / 256GB / Windows 11 Pro - Platinum,19721.00,244,ZAR,1 - SURFACE,SURFACE LAPTOP 7 13.8-INCH SNAPDRAGON,Price List and Stock on Hand,14 April 2026
ZGX-00015,Surface Laptop 7 13.8-inch Snapdragon Plus / 16GB RAM / 512GB / Windows 11 Pro - Platinum,29160.00,0,ZAR,1 - SURFACE,SURFACE LAPTOP 7 13.8-INCH SNAPDRAGON,Price List and Stock on Hand,14 April 2026
ZGX-00052,Surface Laptop 7 13.8-inch Snapdragon Plus / 16GB RAM / 512GB / Windows 11 Pro - Black,23008.00,61,ZAR,1 - SURFACE,SURFACE LAPTOP 7 13.8-INCH SNAPDRAGON,Price List and Stock on Hand,14 April 2026
ZGZ-00015,Surface Laptop 7 13.8-inch Snapdragon Elite / 16GB RAM / 512GB / Windows 11 Pro - Platinum,30670.00,0,ZAR,1 - SURFACE,SURFACE LAPTOP 7 13.8-INCH SNAPDRAGON,Price List and Stock on Hand,14 April 2026
ZGZ-00052,Surface Laptop 7 13.8-inch Snapdragon Elite / 16GB RAM / 512GB / Windows 11 Pro - Black,26687.00,20,ZAR,1 - SURFACE,SURFACE LAPTOP 7 13.8-INCH SNAPDRAGON,Price List and Stock on Hand,14 April 2026
ZHB-00015,Surface Laptop 7 13.8-inch Snapdragon Elite / 32GB RAM / 1TB / Windows 11 Pro - Black,34591.00,0,ZAR,1 - SURFACE,SURFACE LAPTOP 7 13.8-INCH SNAPDRAGON,Price List and Stock on Hand,14 April 2026
ZXY-00015,Surface Laptop 7 13.8-inch Snapdragon Elite / 16GB RAM /1TB / Windows 11 Pro - Platinum,29034.00,1,ZAR,1 - SURFACE,SURFACE LAPTOP 7 13.8-INCH SNAPDRAGON,Price List and Stock on Hand,14 April 2026
ZXY-00052,Surface Laptop 7 13.8-inch Snapdragon Elite / 16GB RAM /1TB / Windows 11 Pro - Black,37541.00,11,ZAR,1 - SURFACE,SURFACE LAPTOP 7 13.8-INCH SNAPDRAGON,Price List and Stock on Hand,14 April 2026
EP2-20944,Surface Laptop 7 13.8-Inch Core Ultra 5 (Series 2) / 16 GB RAM / 256GB / Windows 11 Pro - Platinum,28017.00,65,ZAR,1 - SURFACE,SURFACE LAPTOP 7 13.8-INCH INTEL,Price List and Stock on Hand,14 April 2026
EP2-20969,Surface Laptop 7 13.8-Inch Core Ultra 5 (Series 2) / 16 GB RAM / 512GB / Windows 11 Pro - Platinum,29739.00,20,ZAR,1 - SURFACE,SURFACE LAPTOP 7 13.8-INCH INTEL,Price List and Stock on Hand,14 April 2026
EP2-20994,Surface Laptop 7 13.8-Inch Core Ultra 5 (Series 2) / 32 GB RAM / 256GB / Windows 11 Pro - Platinum,39146.00,0,ZAR,1 - SURFACE,SURFACE LAPTOP 7 13.8-INCH INTEL,Price List and Stock on Hand,14 April 2026
EP2-21019,Surface Laptop 7 13.8-Inch Core Ultra 5 (Series 2) / 32 GB RAM / 512GB / Windows 11 Pro - Platinum,37095.00,22,ZAR,1 - SURFACE,SURFACE LAPTOP 7 13.8-INCH INTEL,Price List and Stock on Hand,14 April 2026
EP2-21067,Surface Laptop 7 13.8-Inch Core Ultra 7 (Series 2) / 16 GB RAM / 256GB / Windows 11 Pro - Platinum,31148.00,30,ZAR,1 - SURFACE,SURFACE LAPTOP 7 13.8-INCH INTEL,Price List and Stock on Hand,14 April 2026
EP2-21093,Surface Laptop 7 13.8-Inch Core Ultra 7 (Series 2) / 16 GB RAM / 512GB / Windows 11 Pro - Platinum,32869.00,34,ZAR,1 - SURFACE,SURFACE LAPTOP 7 13.8-INCH INTEL,Price List and Stock on Hand,14 April 2026
EP2-21118,Surface Laptop 7 13.8-Inch Core Ultra 7 (Series 2) / 32 GB RAM / 256GB / Windows 11 Pro - Platinum,41814.00,0,ZAR,1 - SURFACE,SURFACE LAPTOP 7 13.8-INCH INTEL,Price List and Stock on Hand,14 April 2026
EP2-21143,Surface Laptop 7 13.8-Inch Core Ultra 7 (Series 2) / 32 GB RAM / 512GB / Windows 11 Pro - Platinum,40148.00,31,ZAR,1 - SURFACE,SURFACE LAPTOP 7 13.8-INCH INTEL,Price List and Stock on Hand,14 April 2026
EP2-21168,Surface Laptop 7 13.8-Inch Core Ultra 7 (Series 2) / 32 GB RAM / 1TB / Windows 11 Pro - Platinum,43669.00,15,ZAR,1 - SURFACE,SURFACE LAPTOP 7 13.8-INCH INTEL,Price List and Stock on Hand,14 April 2026
EP2-22158,Surface Laptop 7 13.8-Inch Core Ultra 5 (Series 2) / 16 GB RAM / 256GB / Windows 11 Pro - Black,28017.00,10,ZAR,1 - SURFACE,SURFACE LAPTOP 7 13.8-INCH INTEL,Price List and Stock on Hand,14 April 2026
EP2-22183,Surface Laptop 7 13.8-Inch Core Ultra 5 (Series 2) / 16 GB RAM / 512GB / Windows 11 Pro - Black,29739.00,28,ZAR,1 - SURFACE,SURFACE LAPTOP 7 13.8-INCH INTEL,Price List and Stock on Hand,14 April 2026
EP2-22208,Surface Laptop 7 13.8-Inch Core Ultra 5 (Series 2) / 32 GB RAM / 256GB / Windows 11 Pro - Black,33261.00,1,ZAR,1 - SURFACE,SURFACE LAPTOP 7 13.8-INCH INTEL,Price List and Stock on Hand,14 April 2026
EP2-22233,Surface Laptop 7 13.8-Inch Core Ultra 5 (Series 2) / 32 GB RAM / 512GB / Windows 11 Pro - Black,36704.00,30,ZAR,1 - SURFACE,SURFACE LAPTOP 7 13.8-INCH INTEL,Price List and Stock on Hand,14 April 2026
EP2-22258,Surface Laptop 7 13.8-Inch Core Ultra 7 (Series 2) / 16 GB RAM / 256GB / Windows 11 Pro - Black,31148.00,15,ZAR,1 - SURFACE,SURFACE LAPTOP 7 13.8-INCH INTEL,Price List and Stock on Hand,14 April 2026
EP2-22283,Surface Laptop 7 13.8-Inch Core Ultra 7 (Series 2) / 16 GB RAM / 512GB / Windows 11 Pro - Black,32869.00,35,ZAR,1 - SURFACE,SURFACE LAPTOP 7 13.8-INCH INTEL,Price List and Stock on Hand,14 April 2026
EP2-22308,Surface Laptop 7 13.8-Inch Core Ultra 7 (Series 2) / 32 GB RAM / 256GB / Windows 11 Pro - Black,36313.00,1,ZAR,1 - SURFACE,SURFACE LAPTOP 7 13.8-INCH INTEL,Price List and Stock on Hand,14 April 2026
EP2-22333,Surface Laptop 7 13.8-Inch Core Ultra 7 (Series 2) / 32 GB RAM / 512GB / Windows 11 Pro - Black,39756.00,109,ZAR,1 - SURFACE,SURFACE LAPTOP 7 13.8-INCH INTEL,Price List and Stock on Hand,14 April 2026
